reviewId,userName,userImage,content,score,thumbsUpCount,reviewCreatedVersion,at,replyContent,repliedAt,appVersion
152b8130-3c7f-4079-8c31-9d1aa783d410,Norman Jr Caballero,https://play-lh.googleusercontent.com/a-/ALV-UjXYXL0dO6eHDvKvJbr7QtlHBZ9UiyJ9th5kqo1TXe_lzy9NoFDR,WORST APP KEEPS LOGGING ME OUT. I CAN'T LOGIN BACK. EVEN USING MY PASSWORD IT WON'T LET ME LOGIN. TRIED THE CHANGE PASSWORD AND LOGIN USING CODE. IT KEEPS PROMPTING ERROR. PAID FOR MONTHLY FEES BUT GOT A USELESS APP,1,0,9.15.1 build 11 62624,2025-05-20 11:46:48,,,9.15.1 build 11 62624
ccf2d040-40f3-4679-bf8b-fc5ca35235b8,Bhavesh Shukla,https://play-lh.googleusercontent.com/a-/ALV-UjWTtzBochTzpNZBCN6ERZGKfMtqqHLbIKFG3LMkPQeIDrW_qdCe,this is very bad rechargeing problem,1,0,9.15.1 build 11 62624,2025-05-20 11:40:07,,,9.15.1 build 11 62624
2d2f9df4-d043-44f3-ae5a-c1489bc888cf,Simran Bamne Bamne,https://play-lh.googleusercontent.com/a-/ALV-UjXZVI7UClZ4h7LKTpngUHnYFY1fHGTEePm3aJi2YKmRR74kQyQ0,nice,4,0,9.15.1 build 11 62624,2025-05-20 11:33:55,,,9.15.1 build 11 62624
399ea84b-ca03-48d5-bed1-8e21a7fe0356,Arman Armancat,https://play-lh.googleusercontent.com/a/ACg8ocLQPZRPQKAY2ZtVOGQXFb1OQD9K5R-dVSWSR-9l1o8TpX_KZQ=mo,very bad Netflix amount is heavy rate and giving not in available things of Anime types of movies prime video is a best go to the prime video I will delete is Netflix do not use Netflix very bad,1,0,9.15.1 build 11 62624,2025-05-20 10:58:12,,,9.15.1 build 11 62624
95cb0e7a-6cea-4d42-a0ea-beab297baceb,Faisal Shaikh,https://play-lh.googleusercontent.com/a/ACg8ocKDt5oB7U016m3aB4TiCN3_1rO2Kc6l849xacwSfiru8wiYHQ=mo,best,5,0,9.15.1 build 11 62624,2025-05-20 10:52:36,,,9.15.1 build 11 62624
99c750ae-201c-4f97-9f9c-3f32771b41f9,Arun Kumar,https://play-lh.googleusercontent.com/a-/ALV-UjUBvs4K1I6bTlqWyTk86dO-lJ8khsSG7fTE_3SGyDbC8fKWGc6Z,Nice App,5,0,9.15.1 build 11 62624,2025-05-20 10:40:06,,,9.15.1 build 11 62624
d1307841-54b4-4399-9d52-e8d8ca5be9a6,Muhammad Ariff,https://play-lh.googleusercontent.com/a-/ALV-UjUFRSQAno21NWQFU76rJBXeUXRvA0YnkZUKJQYkxFwQpYE5hvDT,not support at android box,1,0,9.15.1 build 11 62624,2025-05-20 10:39:45,,,9.15.1 build 11 62624
89de9e70-cc59-4043-bd2f-e8d874b180ac,piyush,https://play-lh.googleusercontent.com/a/ACg8ocLUaM9mX7EXn8LmJWqSX4RdbYTZQLB88eKomXIcswPFHfSWaw=mo,THIS APP IS FULLY ENTERATAINMENT APP IN THE WORLD ...,5,0,9.15.1 build 11 62624,2025-05-20 10:20:20,,,9.15.1 build 11 62624
399d6129-bd41-4a2a-8bae-57e781d44b62,Ogwu Godfrey,https://play-lh.googleusercontent.com/a/ACg8ocLgA4NtebNYIm-D4a6phT6Jqrrb5DKAqdff05i_APX0_HVFtQ=mo,it's difficult to sign in,1,0,9.15.1 build 11 62624,2025-05-20 09:59:16,,,9.15.1 build 11 62624
82f82e21-c432-434b-84f3-9d864ddeec85,Israel Jacob,https://play-lh.googleusercontent.com/a-/ALV-UjV0R3Su3V8OdTl43CpNGinCJ5Jx-LdBUN22mhrPuyl33HbR_Zqt,nice app,5,0,9.15.1 build 11 62624,2025-05-20 09:54:43,,,9.15.1 build 11 62624
ca493213-24ff-403e-91c0-6784a17fad82,Sunny Anant,https://play-lh.googleusercontent.com/a-/ALV-UjWOsD7zTSmv6E0msjwVNirL3761t3tQuHZqCo2XVQ6KCy8hq0U,so sweet of thrones season and you can do it for you to sahi,5,0,9.15.1 build 11 62624,2025-05-20 09:45:42,,,9.15.1 build 11 62624
bb3928d3-0de2-431b-8162-468016a8dbee,James White,https://play-lh.googleusercontent.com/a/ACg8ocKqJOezDRfs3dZJjSQXlmO5aWVAQPYYUMdKFm9dPWpKFy-CjQ=mo,it is all right but needs some new movies.,3,0,,2025-05-20 09:22:57,,,
4f5fa566-860d-407b-b41d-d1d0bd2b3840,Ajaz Ch,https://play-lh.googleusercontent.com/a/ACg8ocILsc4qboo0iYhpNtz9VWZwIQAgJsKKpmE2lAWyOFuIQAlctA=mo,Best app,5,0,,2025-05-20 09:22:35,,,
912e7032-0a11-4b20-b706-cc485cb31f9a,Nobuhle Zondo,https://play-lh.googleusercontent.com/a/ACg8ocKNw6JI4cC9e8EwrPMaJfE7GsVaAcj4bBbUY99Km3slPG3tcw=mo,It so amazing app but it refused in to me on sign up,3,0,,2025-05-20 09:15:39,,,
8d6af943-31f0-43d7-b186-03947752941f,Von Magbanua,https://play-lh.googleusercontent.com/a-/ALV-UjWAuyuTQyfyUGw77aPgQyTRj3VcYwo588_HHP3sz4b-bozyC_G9,I'm rating this a 1 star because I'm just watching one piece and in some part of the show there are missing episodes like 500 episodes of one piece episode never trusting Netflix again,1,0,9.15.1 build 11 62624,2025-05-20 08:52:34,,,9.15.1 build 11 62624
40c44a35-3b37-4145-b25e-f8dc91827643,Jude Mathew Divida,https://play-lh.googleusercontent.com/a-/ALV-UjWeGhjbsTZ83UwsNVVY_XSE8TGpveabFEzKD5qfCdfCccrwCrM,This app is so beautiful to watch my favorite movies 😍,5,0,,2025-05-20 08:37:47,,,
ea1b8850-5218-4705-a308-26f2b035ffbc,Jonas kamby Kathindi,https://play-lh.googleusercontent.com/a-/ALV-UjVVsGu3adx28iJPRmTLLemSFbUbqOufxMf5FgxbKWfMY9dbKyNX,the best,5,0,9.15.1 build 11 62624,2025-05-20 08:22:26,,,9.15.1 build 11 62624
de4990bb-9743-4f4c-9009-bcb663c4082e,VINEET YADAV,https://play-lh.googleusercontent.com/a-/ALV-UjVtqOCa7lL0UovFnPE_m0tEzxzfYXoh0CJfhIOccGmlNRb12UjT,worst app 😑 😒,1,0,9.15.1 build 11 62624,2025-05-20 08:20:15,,,9.15.1 build 11 62624
46f5b6d7-d715-4520-9d51-ac71c144f793,Pania,https://play-lh.googleusercontent.com/a/ACg8ocJZ_0JMQXXLFiDevSp8mPV2-T4DX6DR2kogiD1u5A32JDIA3A=mo,yes it was me push the wrong button I'm sorry,5,0,9.15.1 build 11 62624,2025-05-20 07:54:10,,,9.15.1 build 11 62624
9366b08e-4e17-491c-8d3f-6b6b68c203bb,Karlstein Dimailig,https://play-lh.googleusercontent.com/a-/ALV-UjUCfQQukH3viBuwhmCF8_1fZDPeWT_8oUzwpC-jQWrtXFmevGg,"I can't watch it! It will for ""loading"" only and it will corrupt the app please fix it.",1,1,9.15.1 build 11 62624,2025-05-20 07:49:21,,,9.15.1 build 11 62624
427bba8c-ece0-45ff-8d3c-6c2d1317d7f8,kblam1001,https://play-lh.googleusercontent.com/a/ACg8ocL4ZmYDt9XtSMmnOnsS9x8YXyv07BKFFJLcO9pQc1ib8kuJUQ=mo,"You guys need to give option to choose 1080p playback on all devices.We pay you for it for God's sake. Screw your million dollar company for scamming us and also stealing our data, now making AI ads. Piracy respects my privacy more than you people. You guys are really selfish and greedy. You don't deserve our money. F U",1,0,9.15.1 build 11 62624,2025-05-20 07:42:11,,,9.15.1 build 11 62624
